position,domain,industry,software_as_service,content_producer,user_content_platform,needs_login,charge_users,mainly_web,owner,for_profit,owner_country,bought
77,cricbuzz.com,Fantasy Sports,0,1,0,0,0,1,The Times Group,1,India,
78,etsy.com,Marketplace,0,0,1,0,0,1,Etsy,1,United States,
79,yiyouliao.com,Programming and Developer Software,1,0,0,1,1,1,Youliang Technology,1,China,
80,aliexpress.com,Marketplace,0,0,1,0,0,1,Alibaba Group,1,China,
81,paypal.com,Banking Credit and Lending,0,0,0,1,1,1,Paypal,1,United States,
82,amazon.de,Marketplace,0,1,1,0,0,0,Amazon,1,United States,0
83,chaturbate.com,Adult,0,0,1,0,0,1,Multi Media LLC,1,United States,
84,github.com,Programming and Developer Software,0,0,1,1,0,1,Microsoft,1,United States,1
85,dailymail.co.uk,News and Media,0,1,0,0,0,1,Daily Mail and General Trust,1,United Kingdom,
86,google.de,Search Engines,0,0,0,0,0,1,Alphabet,1,United States,
87,ozon.ru,Marketplace,0,1,1,0,0,0,Ozon,1,Russia,
88,taobao.com,Marketplace,0,,1,1,,0,Alibaba Group,1,China,
89,walmart.com,Marketplace,0,1,1,0,0,0,Walton family,1,United States,
90,news.google.com,News and Media,0,0,0,0,0,1,Alphabet,1,United States,
91,wildberries.ru,Marketplace,0,1,1,0,0,0,Wildberries,1,Russia,
92,avito.ru,Classifieds,0,0,1,0,0,1,Kismet Capital Group,1,Russia,
93,miguvideo.com,TV Movies and Streaming,0,,,,,1,,,,
94,amazon.co.uk,Marketplace,0,1,1,0,0,0,Amazon,1,United States,0
95,theguardian.com,News and Media,0,1,0,0,0,1,Scott Trust Limited,1,United Kingdom,
96,tripmall.online,Ecommerce and Shopping - Other,0,0,0,0,0,1,12 Co Ltd,1,Japan,
97,marca.com,Sports - Other,0,1,0,0,0,1,Cairo Communication,1,Italy,
98,pemsrv.com,Adult,,,,,,,,,,
99,messenger.com,Social Networks and Online Communities,1,0,1,1,0,1,Meta,1,United States,0
100,amazon.in,Marketplace,0,1,1,0,0,0,Amazon,1,United States,0
101,aniwave.to,Animation and Comics,0,0,0,0,0,1,,,,
102,pixiv.net,Visual Arts and Design,0,0,1,1,0,1,Pixiv,1,Japan,
103,archiveofourown.org,Books and Literature,0,0,1,0,0,1,Organization for Transformative Works,0,United States,
